年月,X线项目,医生编号,医生,医生等级,报告数量,审核数量,总数量
2025-02,腹部,18,马萌,初级,19,0,19
2025-03,腹部,18,马萌,初级,16,0,16
2025-04,腹部,18,马萌,初级,27,1,28
2025-05,腹部,18,马萌,初级,15,0,15
2025-06,腹部,18,马萌,初级,25,0,25
2025-07,腹部,18,马萌,初级,31,3,34
2025-08,腹部,18,马萌,初级,12,3,15
2025-09,腹部,18,马萌,初级,17,2,19
2025-10,腹部,18,马萌,初级,19,2,21
2025-11,腹部,18,马萌,初级,7,1,8
2026-01,腹部,18,马萌,初级,7,1,8
2026-02,腹部,18,马萌,初级,5,0,5
2026-03,腹部,18,马萌,初级,14,1,15
2026-04,腹部,18,马萌,初级,6,0,6
2026-05,腹部,18,马萌,初级,1,0,1
2026-07,腹部,18,马萌,初级,0,1,1
2024-04,腹部,20,李铭婕,中级,5,0,5
2024-05,腹部,20,李铭婕,中级,14,1,15
2024-06,腹部,20,李铭婕,中级,30,6,36
2024-07,腹部,20,李铭婕,中级,27,4,31
2024-08,腹部,20,李铭婕,中级,26,7,33
2024-09,腹部,20,李铭婕,中级,9,2,11
2024-10,腹部,20,李铭婕,中级,31,1,32
2024-11,腹部,20,李铭婕,中级,12,1,13
2024-12,腹部,20,李铭婕,中级,16,2,18
2025-01,腹部,20,李铭婕,中级,5,0,5
2025-02,腹部,20,李铭婕,中级,8,2,10
2025-03,腹部,20,李铭婕,中级,9,0,9
2025-04,腹部,20,李铭婕,中级,1,0,1
2025-05,腹部,20,李铭婕,中级,6,2,8
2025-06,腹部,20,李铭婕,中级,2,0,2
2025-08,腹部,20,李铭婕,中级,0,1,1
2025-10,腹部,20,李铭婕,中级,2,0,2
2025-11,腹部,20,李铭婕,中级,1,1,2
2025-12,腹部,20,李铭婕,中级,5,0,5
2026-01,腹部,20,李铭婕,中级,24,4,28
2026-03,腹部,20,李铭婕,中级,14,0,14
2026-04,腹部,20,李铭婕,中级,14,1,15
2025-01,腹部,21,王兆雪,初级,4,0,4
2025-02,腹部,21,王兆雪,初级,2,0,2
2025-03,腹部,21,王兆雪,初级,2,0,2
2025-04,腹部,21,王兆雪,初级,7,0,7
2025-05,腹部,21,王兆雪,初级,13,1,14
2025-06,腹部,21,王兆雪,初级,9,0,9
2025-08,腹部,21,王兆雪,初级,41,1,42
2025-09,腹部,21,王兆雪,初级,7,0,7
2025-10,腹部,21,王兆雪,初级,23,0,23
2025-11,腹部,21,王兆雪,初级,8,0,8
2025-12,腹部,21,王兆雪,初级,4,0,4
2026-01,腹部,21,王兆雪,初级,1,0,1
2026-02,腹部,21,王兆雪,初级,4,0,4
2026-03,腹部,21,王兆雪,初级,13,0,13
2026-04,腹部,21,王兆雪,初级,10,0,10
2026-06,腹部,21,王兆雪,初级,1,0,1
2025-01,腹部,22,冯军利,初级,12,2,14
2025-02,腹部,22,冯军利,初级,20,1,21
2025-03,腹部,22,冯军利,初级,7,1,8
2025-04,腹部,22,冯军利,初级,16,1,17
2025-05,腹部,22,冯军利,初级,22,0,22
2025-06,腹部,22,冯军利,初级,10,1,11
2025-07,腹部,22,冯军利,初级,11,1,12
2025-08,腹部,22,冯军利,初级,12,2,14
2025-09,腹部,22,冯军利,初级,17,2,19
2025-10,腹部,22,冯军利,初级,7,0,7
2025-11,腹部,22,冯军利,初级,12,0,12
2025-12,腹部,22,冯军利,初级,1,0,1
2026-02,腹部,22,冯军利,初级,3,0,3
2026-03,腹部,22,冯军利,初级,2,0,2
2026-04,腹部,22,冯军利,初级,6,0,6
2026-06,腹部,22,冯军利,初级,1,0,1
2025-09,腹部,23,张若邈,初级,15,0,15
2025-10,腹部,23,张若邈,初级,13,0,13
2025-11,腹部,23,张若邈,初级,15,0,15
2025-12,腹部,23,张若邈,初级,24,0,24
2026-01,腹部,23,张若邈,初级,1,0,1
2026-02,腹部,23,张若邈,初级,9,0,9
2026-04,腹部,23,张若邈,初级,9,0,9
2026-05,腹部,23,张若邈,初级,1,0,1
2024-12,腹部,24,江蓝,初级,6,1,7
2025-02,腹部,24,江蓝,初级,3,0,3
2025-03,腹部,24,江蓝,初级,4,1,5
2025-04,腹部,24,江蓝,初级,22,2,24
2025-05,腹部,24,江蓝,初级,13,1,14
2025-06,腹部,24,江蓝,初级,3,0,3
2025-07,腹部,24,江蓝,初级,6,0,6
2025-08,腹部,24,江蓝,初级,11,0,11
2025-09,腹部,24,江蓝,初级,8,0,8
2025-10,腹部,24,江蓝,初级,13,0,13
2025-11,腹部,24,江蓝,初级,4,0,4
2025-12,腹部,24,江蓝,初级,12,1,13
2026-02,腹部,24,江蓝,初级,1,0,1
2026-03,腹部,24,江蓝,初级,3,0,3
2026-04,腹部,24,江蓝,初级,12,0,12
2025-07,腹部,25,刘坤,初级,5,0,5
2025-08,腹部,25,刘坤,初级,14,0,14
2025-09,腹部,25,刘坤,初级,11,0,11
2025-10,腹部,25,刘坤,初级,18,0,18
2025-11,腹部,25,刘坤,初级,44,1,45
2025-12,腹部,25,刘坤,初级,26,0,26
2026-01,腹部,25,刘坤,初级,8,0,8
2026-02,腹部,25,刘坤,初级,15,0,15
2026-03,腹部,25,刘坤,初级,9,0,9
2026-05,腹部,25,刘坤,初级,2,0,2
2026-06,腹部,25,刘坤,初级,4,0,4
2026-07,腹部,25,刘坤,初级,9,0,9
2026-04,腹部,26,袁芳,预备,10,2,12
2026-05,腹部,26,袁芳,预备,1,0,1
2026-06,腹部,26,袁芳,预备,15,4,19
2026-07,腹部,26,袁芳,预备,3,0,3
2026-04,腹部,27,戴睿,预备,9,0,9
2026-05,腹部,27,戴睿,预备,8,0,8
2026-06,腹部,27,戴睿,预备,2,0,2
2026-07,腹部,27,戴睿,预备,64,4,68
2026-05,腹部,28,于丛爽,预备,23,0,23
2026-06,腹部,28,于丛爽,预备,14,0,14
2026-07,腹部,28,于丛爽,预备,3,0,3
2026-05,腹部,29,冯芷珊,预备,11,0,11
2026-06,腹部,29,冯芷珊,预备,13,0,13
2026-07,腹部,29,冯芷珊,预备,8,1,9
2026-05,腹部,30,付诗懿,预备,5,0,5
2026-06,腹部,30,付诗懿,预备,19,0,19
2026-07,腹部,30,付诗懿,预备,2,0,2
2026-05,腹部,31,刘亦婷,预备,10,0,10
2026-06,腹部,31,刘亦婷,预备,5,0,5
2023-03,腹部,,于飞,未登记,1,0,1
2021-10,腹部,,傅梦竹,未登记,0,1,1
2022-01,腹部,,傅梦竹,未登记,0,3,3
2022-02,腹部,,傅梦竹,未登记,0,2,2
2022-07,腹部,,傅梦竹,未登记,0,1,1
2022-11,腹部,,傅梦竹,未登记,1,0,1
2022-12,腹部,,傅梦竹,未登记,0,1,1
2023-02,腹部,,傅梦竹,未登记,0,1,1
2023-05,腹部,,傅梦竹,未登记,1,0,1
2023-07,腹部,,傅梦竹,未登记,2,0,2
2024-01,腹部,,傅梦竹,未登记,0,8,8
2024-02,腹部,,傅梦竹,未登记,1,15,16
2024-03,腹部,,傅梦竹,未登记,5,6,11
2024-04,腹部,,傅梦竹,未登记,0,1,1
2024-05,腹部,,傅梦竹,未登记,6,8,14
2024-07,腹部,,傅梦竹,未登记,2,4,6
2024-08,腹部,,傅梦竹,未登记,0,2,2
2024-09,腹部,,傅梦竹,未登记,1,2,3
2024-10,腹部,,傅梦竹,未登记,6,11,17
2024-11,腹部,,傅梦竹,未登记,1,3,4
2021-08,腹部,,刘冉,未登记,1,0,1
2021-09,腹部,,刘冉,未登记,1,0,1
2021-12,腹部,,刘冉,未登记,0,1,1
2022-01,腹部,,刘冉,未登记,0,1,1
2022-02,腹部,,刘冉,未登记,2,0,2
2022-04,腹部,,刘冉,未登记,1,0,1
2022-04,腹部,,吴凡,未登记,0,1,1
2022-06,腹部,,吴凡,未登记,0,1,1
2024-01,腹部,,张静,未登记,8,0,8
2024-02,腹部,,张静,未登记,11,0,11
2024-03,腹部,,张静,未登记,12,0,12
2026-03,腹部,,彭涛,未登记,6,0,6
2026-06,腹部,,彭涛,未登记,4,0,4
2022-04,腹部,,王佳尧,未登记,2,0,2
2021-03,腹部,,白鹤,未登记,1,0,1
2021-07,腹部,,白鹤,未登记,1,0,1
2021-08,腹部,,白鹤,未登记,2,0,2
2021-10,腹部,,白鹤,未登记,1,0,1
2021-12,腹部,,白鹤,未登记,0,1,1
2022-01,腹部,,白鹤,未登记,2,0,2
2022-05,腹部,,白鹤,未登记,1,0,1
2022-08,腹部,,白鹤,未登记,0,1,1
2022-11,腹部,,白鹤,未登记,0,1,1
2024-01,腹部,,郭瑞泽,未登记,8,0,8
2024-02,腹部,,郭瑞泽,未登记,17,0,17
2024-03,腹部,,郭瑞泽,未登记,10,0,10
2024-04,腹部,,郭瑞泽,未登记,7,0,7
2026-05,腹部,,马龙,未登记,19,0,19
2026-06,腹部,,马龙,未登记,7,0,7
2022-01,颈部,01,戴榕全,高级,0,1,1
2024-01,颈部,01,戴榕全,高级,1,16,17
2024-02,颈部,01,戴榕全,高级,0,5,5
2024-03,颈部,01,戴榕全,高级,0,2,2
2024-04,颈部,01,戴榕全,高级,1,15,16
2024-05,颈部,01,戴榕全,高级,7,9,16
2024-07,颈部,01,戴榕全,高级,2,6,8
2024-08,颈部,01,戴榕全,高级,3,6,9
2024-09,颈部,01,戴榕全,高级,3,5,8
2024-10,颈部,01,戴榕全,高级,0,1,1
2024-12,颈部,01,戴榕全,高级,3,8,11
2025-02,颈部,01,戴榕全,高级,0,2,2
2025-03,颈部,01,戴榕全,高级,0,2,2
2025-05,颈部,01,戴榕全,高级,4,15,19
2025-06,颈部,01,戴榕全,高级,1,3,4
2025-07,颈部,01,戴榕全,高级,0,2,2
2025-08,颈部,01,戴榕全,高级,2,6,8
2025-09,颈部,01,戴榕全,高级,3,6,9
2025-10,颈部,01,戴榕全,高级,1,3,4
2025-11,颈部,01,戴榕全,高级,0,4,4
2025-12,颈部,01,戴榕全,高级,0,1,1
2026-01,颈部,01,戴榕全,高级,0,3,3
2026-02,颈部,01,戴榕全,高级,1,2,3
2026-03,颈部,01,戴榕全,高级,2,6,8
2026-04,颈部,01,戴榕全,高级,0,1,1
2026-05,颈部,01,戴榕全,高级,0,2,2
2026-06,颈部,01,戴榕全,高级,0,2,2
2026-07,颈部,01,戴榕全,高级,0,7,7
2022-01,颈部,02,刘蕾,高级,1,0,1
2024-02,颈部,02,刘蕾,高级,0,6,6
2024-03,颈部,02,刘蕾,高级,0,1,1
2024-04,颈部,02,刘蕾,高级,0,1,1
2024-05,颈部,02,刘蕾,高级,0,3,3
2024-07,颈部,02,刘蕾,高级,0,6,6
2024-08,颈部,02,刘蕾,高级,0,2,2
2024-09,颈部,02,刘蕾,高级,0,1,1
2024-11,颈部,02,刘蕾,高级,2,7,9
2024-12,颈部,02,刘蕾,高级,1,5,6
2025-02,颈部,02,刘蕾,高级,1,7,8
2025-03,颈部,02,刘蕾,高级,0,1,1
2025-04,颈部,02,刘蕾,高级,1,10,11
2025-06,颈部,02,刘蕾,高级,1,5,6
2025-07,颈部,02,刘蕾,高级,0,2,2
2025-08,颈部,02,刘蕾,高级,0,5,5
2025-09,颈部,02,刘蕾,高级,0,9,9
2025-10,颈部,02,刘蕾,高级,0,15,15
2025-12,颈部,02,刘蕾,高级,0,7,7
2026-01,颈部,02,刘蕾,高级,0,4,4
2026-03,颈部,02,刘蕾,高级,0,2,2
2026-04,颈部,02,刘蕾,高级,1,6,7
2026-06,颈部,02,刘蕾,高级,0,5,5
2026-07,颈部,02,刘蕾,高级,0,2,2
2022-08,颈部,03,张博闻,高级,0,1,1
2024-01,颈部,03,张博闻,高级,0,6,6
2024-02,颈部,03,张博闻,高级,0,1,1
2024-03,颈部,03,张博闻,高级,0,4,4
2024-04,颈部,03,张博闻,高级,2,5,7
2024-05,颈部,03,张博闻,高级,1,5,6
2024-06,颈部,03,张博闻,高级,0,3,3
2024-07,颈部,03,张博闻,高级,0,2,2
2024-08,颈部,03,张博闻,高级,0,8,8
2024-09,颈部,03,张博闻,高级,2,5,7
2024-10,颈部,03,张博闻,高级,0,11,11
2024-11,颈部,03,张博闻,高级,0,2,2
2024-12,颈部,03,张博闻,高级,1,4,5
2025-01,颈部,03,张博闻,高级,0,2,2
2025-02,颈部,03,张博闻,高级,0,1,1
2025-03,颈部,03,张博闻,高级,0,6,6
2025-04,颈部,03,张博闻,高级,2,7,9
2025-05,颈部,03,张博闻,高级,0,3,3
2025-06,颈部,03,张博闻,高级,0,8,8
2025-07,颈部,03,张博闻,高级,0,8,8
2025-08,颈部,03,张博闻,高级,0,11,11
2025-09,颈部,03,张博闻,高级,0,10,10
2025-10,颈部,03,张博闻,高级,1,18,19
2025-11,颈部,03,张博闻,高级,0,8,8
2025-12,颈部,03,张博闻,高级,0,5,5
2026-01,颈部,03,张博闻,高级,1,11,12
2026-02,颈部,03,张博闻,高级,0,10,10
2026-03,颈部,03,张博闻,高级,0,1,1
2026-04,颈部,03,张博闻,高级,3,8,11
2026-05,颈部,03,张博闻,高级,0,2,2
2026-06,颈部,03,张博闻,高级,1,4,5
2026-07,颈部,03,张博闻,高级,0,3,3
2024-01,颈部,04,白璐,高级,1,11,12
2024-02,颈部,04,白璐,高级,0,11,11
2024-03,颈部,04,白璐,高级,2,9,11
2024-04,颈部,04,白璐,高级,0,4,4
2024-05,颈部,04,白璐,高级,0,5,5
2024-06,颈部,04,白璐,高级,4,14,18
2024-07,颈部,04,白璐,高级,2,12,14
2024-08,颈部,04,白璐,高级,2,5,7
2024-09,颈部,04,白璐,高级,14,13,27
2024-10,颈部,04,白璐,高级,4,7,11
2024-11,颈部,04,白璐,高级,0,7,7
2024-12,颈部,04,白璐,高级,2,8,10
2025-01,颈部,04,白璐,高级,0,4,4
2025-02,颈部,04,白璐,高级,0,7,7
2025-03,颈部,04,白璐,高级,1,9,10
2025-04,颈部,04,白璐,高级,0,7,7
2025-05,颈部,04,白璐,高级,2,11,13
2025-06,颈部,04,白璐,高级,0,3,3
2025-07,颈部,04,白璐,高级,7,24,31
2025-08,颈部,04,白璐,高级,1,12,13
2025-09,颈部,04,白璐,高级,0,16,16
2025-10,颈部,04,白璐,高级,1,1,2
2025-11,颈部,04,白璐,高级,1,19,20
2025-12,颈部,04,白璐,高级,1,8,9
2026-01,颈部,04,白璐,高级,0,5,5
2026-02,颈部,04,白璐,高级,0,4,4
2026-03,颈部,04,白璐,高级,1,9,10
2026-04,颈部,04,白璐,高级,0,7,7
2026-05,颈部,04,白璐,高级,0,14,14
2026-06,颈部,04,白璐,高级,1,11,12
2026-07,颈部,04,白璐,高级,0,8,8
2024-01,颈部,05,周媛媛,高级,0,4,4
2024-02,颈部,05,周媛媛,高级,0,3,3
2024-03,颈部,05,周媛媛,高级,2,7,9
2024-04,颈部,05,周媛媛,高级,1,11,12
2024-05,颈部,05,周媛媛,高级,0,12,12
2024-06,颈部,05,周媛媛,高级,1,15,16
2024-07,颈部,05,周媛媛,高级,0,6,6
2024-08,颈部,05,周媛媛,高级,0,10,10
2024-09,颈部,05,周媛媛,高级,0,5,5
2024-10,颈部,05,周媛媛,高级,1,7,8
2024-11,颈部,05,周媛媛,高级,0,9,9
2024-12,颈部,05,周媛媛,高级,0,1,1
2025-01,颈部,05,周媛媛,高级,0,3,3
2025-02,颈部,05,周媛媛,高级,0,3,3
2025-03,颈部,05,周媛媛,高级,0,6,6
2025-04,颈部,05,周媛媛,高级,2,9,11
2025-05,颈部,05,周媛媛,高级,0,3,3
2025-06,颈部,05,周媛媛,高级,0,8,8
2025-07,颈部,05,周媛媛,高级,0,4,4
2025-08,颈部,05,周媛媛,高级,0,2,2
2025-09,颈部,05,周媛媛,高级,0,10,10
2025-10,颈部,05,周媛媛,高级,1,11,12
2025-11,颈部,05,周媛媛,高级,1,3,4
2025-12,颈部,05,周媛媛,高级,2,10,12
2026-01,颈部,05,周媛媛,高级,2,8,10
2026-02,颈部,05,周媛媛,高级,1,5,6
2026-03,颈部,05,周媛媛,高级,0,3,3
2026-04,颈部,05,周媛媛,高级,2,9,11
2024-01,颈部,06,曲艺,高级,1,5,6
2024-02,颈部,06,曲艺,高级,3,7,10
2024-03,颈部,06,曲艺,高级,1,6,7
2024-04,颈部,06,曲艺,高级,1,5,6
2024-05,颈部,06,曲艺,高级,0,1,1
2024-07,颈部,06,曲艺,高级,1,3,4
2024-08,颈部,06,曲艺,高级,2,6,8
2024-09,颈部,06,曲艺,高级,1,1,2
2024-10,颈部,06,曲艺,高级,2,9,11
2024-11,颈部,06,曲艺,高级,1,4,5
2024-12,颈部,06,曲艺,高级,0,6,6
2025-01,颈部,06,曲艺,高级,1,3,4
2025-02,颈部,06,曲艺,高级,0,5,5
2025-03,颈部,06,曲艺,高级,0,4,4
2025-04,颈部,06,曲艺,高级,0,3,3
2025-05,颈部,06,曲艺,高级,2,8,10
2025-06,颈部,06,曲艺,高级,1,6,7
2025-07,颈部,06,曲艺,高级,1,5,6
2025-08,颈部,06,曲艺,高级,1,3,4
2025-09,颈部,06,曲艺,高级,2,6,8
2025-10,颈部,06,曲艺,高级,2,8,10
2025-11,颈部,06,曲艺,高级,3,12,15
2025-12,颈部,06,曲艺,高级,1,1,2
2026-01,颈部,06,曲艺,高级,0,4,4
2026-03,颈部,06,曲艺,高级,3,20,23
2026-04,颈部,06,曲艺,高级,2,14,16
2026-05,颈部,06,曲艺,高级,3,7,10
2026-06,颈部,06,曲艺,高级,0,7,7
2026-07,颈部,06,曲艺,高级,1,8,9
2024-01,颈部,07,苏畅,高级,4,13,17
2024-02,颈部,07,苏畅,高级,1,2,3
2024-03,颈部,07,苏畅,高级,1,15,16
2024-04,颈部,07,苏畅,高级,5,9,14
2024-05,颈部,07,苏畅,高级,1,10,11
2024-06,颈部,07,苏畅,高级,0,10,10
2024-07,颈部,07,苏畅,高级,0,5,5
2024-08,颈部,07,苏畅,高级,2,13,15
2024-09,颈部,07,苏畅,高级,2,2,4
2024-10,颈部,07,苏畅,高级,8,16,24
2024-11,颈部,07,苏畅,高级,2,5,7
2024-12,颈部,07,苏畅,高级,1,8,9
2025-01,颈部,07,苏畅,高级,1,10,11
2025-02,颈部,07,苏畅,高级,3,16,19
2025-03,颈部,07,苏畅,高级,2,4,6
2025-04,颈部,07,苏畅,高级,2,11,13
2025-05,颈部,07,苏畅,高级,2,12,14
2025-06,颈部,07,苏畅,高级,1,9,10
2025-07,颈部,07,苏畅,高级,0,11,11
2025-08,颈部,07,苏畅,高级,3,13,16
2025-09,颈部,07,苏畅,高级,2,12,14
2025-10,颈部,07,苏畅,高级,2,14,16
2025-11,颈部,07,苏畅,高级,3,19,22
2025-12,颈部,07,苏畅,高级,3,14,17
2026-01,颈部,07,苏畅,高级,1,9,10
2026-02,颈部,07,苏畅,高级,0,2,2
2026-03,颈部,07,苏畅,高级,3,9,12
2026-04,颈部,07,苏畅,高级,3,9,12
2026-05,颈部,07,苏畅,高级,2,11,13
2026-06,颈部,07,苏畅,高级,0,3,3
2026-07,颈部,07,苏畅,高级,0,2,2
2024-01,颈部,08,张志轩,高级,0,1,1
2024-02,颈部,08,张志轩,高级,0,1,1
2024-03,颈部,08,张志轩,高级,1,3,4
2024-04,颈部,08,张志轩,高级,0,7,7
2024-05,颈部,08,张志轩,高级,1,13,14
2024-06,颈部,08,张志轩,高级,0,1,1
2024-07,颈部,08,张志轩,高级,0,6,6
2024-08,颈部,08,张志轩,高级,0,4,4
2024-09,颈部,08,张志轩,高级,0,8,8
2024-10,颈部,08,张志轩,高级,3,6,9
2024-11,颈部,08,张志轩,高级,0,3,3
2024-12,颈部,08,张志轩,高级,0,1,1
2025-01,颈部,08,张志轩,高级,1,8,9
2025-03,颈部,08,张志轩,高级,1,2,3
2025-04,颈部,08,张志轩,高级,1,9,10
2025-05,颈部,08,张志轩,高级,0,4,4
2025-06,颈部,08,张志轩,高级,0,5,5
2025-08,颈部,08,张志轩,高级,0,5,5
2025-10,颈部,08,张志轩,高级,0,5,5
2025-11,颈部,08,张志轩,高级,0,2,2
2025-12,颈部,08,张志轩,高级,0,1,1
2026-01,颈部,08,张志轩,高级,0,6,6
2026-02,颈部,08,张志轩,高级,1,4,5
2026-03,颈部,08,张志轩,高级,0,2,2
2026-04,颈部,08,张志轩,高级,0,4,4
2026-05,颈部,08,张志轩,高级,0,1,1
2026-06,颈部,08,张志轩,高级,0,3,3
2026-07,颈部,08,张志轩,高级,0,2,2
2024-03,颈部,09,邝怡,高级,0,1,1
2024-04,颈部,09,邝怡,高级,2,5,7
2024-05,颈部,09,邝怡,高级,0,1,1
2024-06,颈部,09,邝怡,高级,0,1,1
2024-07,颈部,09,邝怡,高级,1,1,2
2024-08,颈部,09,邝怡,高级,1,3,4
2024-09,颈部,09,邝怡,高级,0,2,2
2024-10,颈部,09,邝怡,高级,1,1,2
2024-11,颈部,09,邝怡,高级,1,3,4
2024-12,颈部,09,邝怡,高级,2,3,5
2025-01,颈部,09,邝怡,高级,1,1,2
2025-02,颈部,09,邝怡,高级,1,3,4
2025-03,颈部,09,邝怡,高级,0,2,2
2025-04,颈部,09,邝怡,高级,0,2,2
2025-05,颈部,09,邝怡,高级,1,8,9
2025-06,颈部,09,邝怡,高级,0,5,5
2025-07,颈部,09,邝怡,高级,3,1,4
2025-08,颈部,09,邝怡,高级,0,3,3
2025-09,颈部,09,邝怡,高级,0,1,1
2025-10,颈部,09,邝怡,高级,0,3,3
2025-11,颈部,09,邝怡,高级,0,10,10
2025-12,颈部,09,邝怡,高级,0,4,4
2026-01,颈部,09,邝怡,高级,1,3,4
2026-02,颈部,09,邝怡,高级,0,3,3
2026-03,颈部,09,邝怡,高级,0,5,5
2026-04,颈部,09,邝怡,高级,0,4,4
2026-05,颈部,09,邝怡,高级,0,3,3
2026-06,颈部,09,邝怡,高级,1,1,2
2026-07,颈部,09,邝怡,高级,2,7,9
2024-01,颈部,10,吴璇,高级,2,0,2
2024-03,颈部,10,吴璇,高级,1,5,6
2024-04,颈部,10,吴璇,高级,0,2,2
2024-05,颈部,10,吴璇,高级,1,1,2
2024-06,颈部,10,吴璇,高级,0,9,9
2024-07,颈部,10,吴璇,高级,0,1,1
2024-08,颈部,10,吴璇,高级,1,6,7
2024-09,颈部,10,吴璇,高级,5,5,10
2024-10,颈部,10,吴璇,高级,2,2,4
2024-11,颈部,10,吴璇,高级,1,5,6
2024-12,颈部,10,吴璇,高级,0,4,4
2025-01,颈部,10,吴璇,高级,0,5,5
2025-02,颈部,10,吴璇,高级,0,9,9
2025-03,颈部,10,吴璇,高级,2,9,11
2025-04,颈部,10,吴璇,高级,0,4,4
2025-05,颈部,10,吴璇,高级,0,3,3
2025-06,颈部,10,吴璇,高级,1,1,2
2025-07,颈部,10,吴璇,高级,5,16,21
2025-08,颈部,10,吴璇,高级,2,8,10
2025-09,颈部,10,吴璇,高级,0,2,2
2025-10,颈部,10,吴璇,高级,0,4,4
2025-11,颈部,10,吴璇,高级,1,14,15
2025-12,颈部,10,吴璇,高级,2,11,13
2026-01,颈部,10,吴璇,高级,2,4,6
2026-02,颈部,10,吴璇,高级,2,4,6
2026-03,颈部,10,吴璇,高级,3,9,12
2026-04,颈部,10,吴璇,高级,2,9,11
2026-05,颈部,10,吴璇,高级,2,9,11
2026-06,颈部,10,吴璇,高级,0,6,6
2026-07,颈部,10,吴璇,高级,0,2,2
2024-01,颈部,11,张秋梅,中级,9,0,9
2024-02,颈部,11,张秋梅,中级,3,0,3
2024-03,颈部,11,张秋梅,中级,8,0,8
2024-04,颈部,11,张秋梅,中级,2,0,2
2024-05,颈部,11,张秋梅,中级,7,1,8
2024-06,颈部,11,张秋梅,中级,1,0,1
2024-07,颈部,11,张秋梅,中级,2,0,2
2024-08,颈部,11,张秋梅,中级,4,0,4
2024-09,颈部,11,张秋梅,中级,2,0,2
2024-10,颈部,11,张秋梅,中级,1,0,1
2024-11,颈部,11,张秋梅,中级,8,0,8
2025-02,颈部,11,张秋梅,中级,3,0,3
2025-03,颈部,11,张秋梅,中级,1,0,1
2025-04,颈部,11,张秋梅,中级,1,0,1
2025-05,颈部,11,张秋梅,中级,1,0,1
2025-06,颈部,11,张秋梅,中级,2,0,2
2025-08,颈部,11,张秋梅,中级,1,0,1
2025-12,颈部,11,张秋梅,中级,1,0,1
2026-01,颈部,11,张秋梅,中级,8,0,8
2026-02,颈部,11,张秋梅,中级,6,0,6
2026-03,颈部,11,张秋梅,中级,15,0,15
2026-04,颈部,11,张秋梅,中级,6,0,6
2024-01,颈部,12,刘慜思,中级,8,0,8
2024-02,颈部,12,刘慜思,中级,7,0,7
2024-03,颈部,12,刘慜思,中级,4,0,4
2024-04,颈部,12,刘慜思,中级,1,0,1
2024-05,颈部,12,刘慜思,中级,6,0,6
2024-06,颈部,12,刘慜思,中级,4,0,4
2024-08,颈部,12,刘慜思,中级,4,0,4
2024-09,颈部,12,刘慜思,中级,2,0,2
2024-11,颈部,12,刘慜思,中级,1,0,1
2024-12,颈部,12,刘慜思,中级,1,0,1
2025-01,颈部,12,刘慜思,中级,1,0,1
2025-03,颈部,12,刘慜思,中级,4,0,4
2025-04,颈部,12,刘慜思,中级,2,0,2
2025-05,颈部,12,刘慜思,中级,3,0,3
2025-07,颈部,12,刘慜思,中级,2,0,2
2025-08,颈部,12,刘慜思,中级,1,0,1
2025-12,颈部,12,刘慜思,中级,3,0,3
2026-01,颈部,12,刘慜思,中级,9,0,9
2026-02,颈部,12,刘慜思,中级,1,0,1
2026-03,颈部,12,刘慜思,中级,8,0,8
2026-04,颈部,12,刘慜思,中级,4,0,4
2024-01,颈部,13,康博,其它,6,0,6
2024-02,颈部,13,康博,其它,1,0,1
2024-03,颈部,13,康博,其它,4,0,4
2024-04,颈部,13,康博,其它,8,0,8
2024-06,颈部,13,康博,其它,7,0,7
2024-07,颈部,13,康博,其它,7,0,7
2024-08,颈部,13,康博,其它,8,0,8
2024-09,颈部,13,康博,其它,1,0,1
2024-10,颈部,13,康博,其它,2,0,2
2024-11,颈部,13,康博,其它,3,0,3
2024-12,颈部,13,康博,其它,2,0,2
2025-01,颈部,13,康博,其它,3,0,3
2025-02,颈部,13,康博,其它,4,0,4
2025-04,颈部,13,康博,其它,6,0,6
2025-05,颈部,13,康博,其它,2,0,2
2025-06,颈部,13,康博,其它,1,0,1
2025-07,颈部,13,康博,其它,4,0,4
2025-08,颈部,13,康博,其它,4,0,4
2025-09,颈部,13,康博,其它,4,0,4
2025-10,颈部,13,康博,其它,1,0,1
2026-02,颈部,13,康博,其它,4,0,4
2026-04,颈部,13,康博,其它,4,0,4
2026-05,颈部,13,康博,其它,4,0,4
2026-06,颈部,13,康博,其它,3,0,3
2026-07,颈部,13,康博,其它,1,0,1
2024-01,颈部,14,简乐诗,中级,5,0,5
2024-02,颈部,14,简乐诗,中级,3,0,3
2024-03,颈部,14,简乐诗,中级,13,0,13
2024-04,颈部,14,简乐诗,中级,13,0,13
2024-05,颈部,14,简乐诗,中级,3,0,3
2024-06,颈部,14,简乐诗,中级,8,0,8
2024-07,颈部,14,简乐诗,中级,4,0,4
2024-08,颈部,14,简乐诗,中级,6,0,6
2024-09,颈部,14,简乐诗,中级,5,0,5
2024-10,颈部,14,简乐诗,中级,4,0,4
2024-11,颈部,14,简乐诗,中级,2,0,2
2024-12,颈部,14,简乐诗,中级,1,0,1
2025-03,颈部,14,简乐诗,中级,3,0,3
2025-05,颈部,14,简乐诗,中级,2,0,2
2025-08,颈部,14,简乐诗,中级,3,0,3
2025-11,颈部,14,简乐诗,中级,1,0,1
2025-12,颈部,14,简乐诗,中级,1,1,2
2026-01,颈部,14,简乐诗,中级,9,8,17
2026-02,颈部,14,简乐诗,中级,3,3,6
2026-03,颈部,14,简乐诗,中级,14,15,29
2026-04,颈部,14,简乐诗,中级,8,9,17
